COL.ID,SEASON,SITE,SPECIES,SE,WE,TAG,FFA,Col,PE,PC,LPC
WT-PD1,1_SM18,WT,PA,0.067680794,40.89887316,36.76271193,57.11271902,7.950547621,6.956098174,7.45204858,14.41130685
WT-PD3,1_SM18,WT,PA,0.353847514,44.71522582,34.91872932,74.91528709,7.696222874,7.725573897,5.742294921,13.76554045
WT-PD5,1_SM18,WT,PA,0.135850902,51.01149275,29.76200918,84.61658165,7.474863276,7.549359331,3.780950197,13.96698776
WT-PD7,1_SM18,WT,PA,1.138369573,34.62074487,35.95384962,69.45694114,6.884756951,3.611993987,7.007128335,13.98308992
WT-PD9,1_SM18,WT,PA,0.112649395,40.8303304,28.1371756,87.75371246,6.02497465,0.933809895,3.278166826,11.21481157
WT-PD10,1_SM18,WT,PA,0.035958496,54.35531722,36.99453843,108.8554731,8.385096363,1.708682823,3.891161799,15.530787
WT-PD1,2_FL,WT,PA,0.487922915,98.20754372,32.27849929,62.2097135,13.05771943,27.46479813,4.095044847,2.58794678
WT-PD3,2_FL,WT,PA,0.921357881,65.32319163,30.87450056,54.21889923,7.917204801,0.398350971,1.493153817,3.085986486
WT-PD7,2_FL,WT,PA,0.71737637,25.25626913,13.24871489,55.52825028,9.692686896,0.489903345,3.518091347,6.970114808
WT-PD9,2_FL,WT,PA,0,82.25577349,47.74939395,111.7886569,13.91947589,1.14273099,7.415977414,3.971588801
WT-PD10,2_FL,WT,PA,2.23785298,159.0231562,59.04075055,85.28345557,16.45974344,13.19627532,17.87193296,9.818897974
WT-PD11,2_FL,WT,PA,0,109.1705312,40.18318812,72.37035094,10.17247879,8.158327792,13.83335148,7.406882824
WT-PD13,2_FL,WT,PA,0,180.7145546,38.66194719,88.54921845,13.27348298,0.598993573,5.918628375,10.93141968
WT-PD3,3_WNT,WT,PA,0.047591104,146.2395747,48.44878118,135.5557482,16.35090149,0.980444536,10.70504537,12.93238055
WT-PD7,3_WNT,WT,PA,0,138.1507456,47.80514843,127.1233501,14.98009947,0.667903938,10.51943688,9.8862054
WT-PD10,3_WNT,WT,PA,0.124036504,95.67925481,18.65354426,121.4181538,16.1536728,0.874826595,14.0311235,14.7353313
WT-PD11,3_WNT,WT,PA,0.042167955,102.0250938,45.57238046,117.1780539,12.64094908,0.395531839,11.73640428,13.28240701
WT-PD13,3_WNT,WT,PA,0.08397367,137.7920223,40.54420505,145.8761747,17.2232832,0.936728904,13.54821943,18.3346563
WT-PD15,3_WNT,WT,PA,0,129.1908278,34.96111048,164.3423289,15.70597334,0.445620053,6.510129514,17.99311688
WT-PD16,3_WNT,WT,PA,0.138623237,101.4299126,44.10068365,126.8693309,13.14044543,0.33203003,13.85484913,13.39822085
WT-PD3,4_SP,WT,PA,1.184085084,258.9387592,38.39241109,137.4612588,18.01468881,3.197131972,0,13.61700703
WT-PD7,4_SP,WT,PA,0.608476685,68.60379298,7.233222501,65.00881635,14.86065647,1.636144441,11.64509427,12.19592303
WT-PD10,4_SP,WT,PA,0.596472498,87.56198149,12.58501194,70.49945876,14.72719769,1.525322679,7.559272495,14.63043344
WT-PD11,4_SP,WT,PA,0.946589385,110.2500117,23.58059429,67.12667307,12.92892233,1.28686714,14.07959016,13.48387226
WT-PD13,4_SP,WT,PA,0.793566449,84.07212027,9.401556593,64.83534025,13.82377398,2.400142524,3.693365571,18.0164126
WT-PD15,4_SP,WT,PA,1.099055152,78.22137964,17.55009105,69.60786336,12.88780033,1.151113494,9.449099002,14.52958779
WT-PD16,4_SP,WT,PA,0.96865299,107.9450593,21.01828201,78.30997477,12.91221399,1.122661459,15.21563789,15.30316155
WT-PD7,5_SM19,WT,PA,0.522500394,118.9050496,16.5153558,50.08723158,10.95494201,0.67627668,13.56625556,12.02073177
WT-PD10,5_SM19,WT,PA,0.739936629,58.657134,8.030611501,55.76050034,13.5096957,0.531526768,13.02620533,12.0185012
WT-PD11,5_SM19,WT,PA,0.811799514,74.238494,14.6738499,52.88524936,10.76633752,0.738942644,13.4375851,10.96290125
WT-PD13,5_SM19,WT,PA,0.39569451,112.694614,21.10332967,54.24731262,18.25552746,0,15.60772144,15.19349975
